value_1	value_2	value_3	number_1	number_2	number_3	number_4	number_5	number_6	number_7	value_4
Cards	SB	BB	3	4	5	6	7	8	9	D
AA	2.72	2.81	2.48	2.53	2.73	2.76	2.79	2.77	2.89	2.96
KK	1.9	1.73	1.72	1.7	1.59	1.9	2.01	1.97	1.94	2.09
QQ	1.18	1.22	1.28	1.21	1.21	1.22	1.24	1.22	1.49	1.36
JJ	0.67	0.63	0.83	0.66	0.86	0.76	0.91	1.01	1.01	0.89
TT	0.38	0.37	0.43	0.52	0.45	0.42	0.46	0.54	0.5	0.56
99	0.18	0.16	0.31	0.15	0.31	0.35	0.25	0.27	0.27	0.23
88	0.1	0.07	0.21	0.09	0.14	0.19	0.15	0.26	0.23	0.26
77	-0.06	-0.01	0.03	0.11	0.07	0.14	0.11	0.19	0.16	0.15
66	-0.01	-0.06	-0.02	0.08	0.2	0.13	0.05	-0.02	0.06	0.13
55	-0.02	-0.12	0.01	-0.02	-0.04	-0.02	0	-0.04	0.01	0.08
44	0.05	-0.1	-0.08	-0.06	-0.01	0.1	0.02	0.02	-0.06	-0.03
33	-0.1	-0.16	-0.07	-0.04	-0.01	-0.05	-0.01	0.06	-0.04	0.03
22	-0.12	-0.1	-0.12	-0.03	-0.04	0.02	0.02	-0.05	0	-0.12
AK	0.42	0.42	0.48	0.42	0.55	0.5	0.5	0.57	0.59	0.61
AK s	0.68	0.78	0.79	0.9	0.83	0.82	0.86	0.82	1.01	0.99
AQ	0.18	0.17	0.21	0.3	0.21	0.31	0.26	0.33	0.3	0.37
AQ s	0.57	0.51	0.51	0.6	0.53	0.5	0.7	0.65	0.64	0.64
AJ	0.03	0.1	0.03	0.1	0.1	0.07	0.15	0.09	0.19	0.15
AJ s	0.41	0.25	0.27	0.41	0.4	0.44	0.51	0.51	0.54	0.49
AT	-0.08	-0.04	-0.07	-0.02	0.02	0.01	0	0.03	0	0.06
AT s	0.19	0.23	0.28	0.24	0.25	0.4	0.28	0.26	0.31	0.46
A9	-0.22	-0.19	-0.08	-0.11	-0.13	-0.07	-0.09	-0.12	-0.1	-0.03
A9 s	0.16	0.05	0.23	0.07	0.13	0.12	0.2	0.19	0.19	0.19
A8	-0.21	-0.28	-0.18	-0.08	-0.11	-0.09	-0.08	-0.16	-0.06	-0.09
A8 s	-0.01	-0.11	0.12	0.03	0.17	0.06	0.08	0.01	0.1	0.14
A7	-0.22	-0.25	-0.15	-0.12	-0.11	-0.11	-0.15	-0.11	-0.1	-0.06
A7 s	-0.07	-0.06	0.03	0.12	-0.01	0.1	0.25	0.1	0.01	0.08
A6	-0.29	-0.28	-0.18	-0.15	-0.12	-0.11	-0.13	-0.1	-0.13	-0.09
A6 s	0.01	-0.15	-0.13	0.04	-0.03	0	0.05	-0.02	0	-0.01
A5	-0.26	-0.3	-0.12	-0.15	-0.12	-0.15	-0.12	-0.11	-0.08	-0.13
A5 s	0.11	0.01	0.09	0.07	0	0.08	0.02	0.01	0.2	0.16
A4	-0.27	-0.3	-0.13	-0.1	-0.15	-0.13	-0.08	-0.1	-0.1	-0.1
