outs	 turn	 river	   %	 %

  1	 46.00	 22.50	  2.13	  4.26
  2	 22.50	 10.88	  4.26	  8.42
  3	 14.67	  7.01	  6.38	 12.49
  4	 10.75	  5.07	  8.51	 16.47
  5	  8.40	  3.91	 10.64	 20.35
  6	  6.83	  3.14	 12.77	 24.14
  7	  5.71	  2.59	 14.89	 27.84
  8	  4.88	  2.18	 17.02	 31.45
  9	  4.22	  1.86	 19.15	 34.97
 10	  3.70	  1.60	 21.28	 38.39
 11	  3.27	  1.40	 23.40	 41.72
 12	  2.92	  1.22	 25.53	 44.96
 13	  2.62	  1.08	 27.66	 48.10
 14	  2.36	  0.95	 29.79	 51.16
 15	  2.13	  0.85	 31.91	 54.12
 16	  1.94	  0.75	 34.04	 56.98
 17	  1.76	  0.67	 36.17	 59.76
 18	  1.61	  0.60	 38.30	 62.44
 19	  1.47	  0.54	 40.43	 65.03
 20	  1.35	  0.48	 42.55	 67.53
 21	  1.24	  0.43	 44.68	 69.94
 22	  1.14	  0.38	 46.81	 72.25
